*bruski	browbeat
fermentilo	leaven, yeast
fermentita brasiko	sauerkraut
fermento	enzyme, ferment
fermi	to close, shut (down), adjourn
fermi dosieron	to close a file
fermilo	fastener, latch / lock
fermio	fermium
fermiono	fermion
fermita	closed, shut
fermita proceduro	closed subroutine
fermita sistemo	closed system, closed circuit system
fermita societo	clique
fermita vojo	closed path, loop
fermitkoda	closed source (program)
fermiĝi	close, be closed
fermiĝo	closure
fermo	closure
fermobutono	close button
fermpinĉi	to squeeze
fermplato	cover, lid
fermu vian klapon!	shut your trap!, shut up!
fero	iron
feroa	Faroese
feroca	fierce
feroce	fiercely
feroco	ferociousness
ferolo	devil’s dung, giant fennel, stinking gum
feromono	pheromone
ferotipio	ferrotype
feroza	ferrous
ferskatolo	can, tin, tin can
fertila	fertile
ferumi	to shoe
fervoja	railroad, railway
fervoja stacidomo	railway station
fervojisto	railroad employee, railroad worker
fervojkompanio	railroad company
fervojo	railroad, railway
fervora	ardent, fervent, full of zeal, zealous
fervore	earnestly, fervently
fervoreco	fervency
fervorega	fiery
fervorege	officiously
fervoregeco	officiousness
fervori	to be zealous
fervoro	fervor, fervour, zeal / fervor, zeal, mettle
fervorulo	zealot
festa	festal
festado	celebration
festanto	reveler
festena	festive
festenado	banquet
festenanto	reveler
festene	festively
festeneco	conviviality
festenego	revel
festenejo	banquet hall
festeni	to banquet, feast
festeno	banquet, feast
festenoĉambro	banquet room
festeto	party
festi	celebrate
festi sian naskiĝtagon	to celebrate one’s birthday
festivalo	festival
festlibro	commemorative publication, festschrift
festo	celebration, festival, party
festoni	to festoon
festono	festoon
festosalono	assembly hall
festotago	bank holiday
festparolado	address, (keynote) speech / keynote address
festuko	fescue
feta	fetal
fetiĉismo	fetishism
fetiĉisto	fetishist
fetiĉo	fetish
feto	fetus / foetus
fetora	bad-smelling, stinking, odorous
fetoranta	bad-smelling, stinking, odorous
fetoreco	smelliness
fetori	to reek, smell, smell bad, stink
fetoro	stench
fezo	fez
feĉo	dregs, scum, sediment
feŭda	feudal
feŭdala	feudal
feŭdaleco	feudality
feŭdalismo	feudalism
feŭdestro	feudal lord
feŭdismo	feudalism
feŭdo	feud, fief
feŭdoĉefo	feudal lord
feŭdulo	vassal
fi	to shame
fi al vi!	shame on you!
fi-	(denotes lack of morals, principles)
fia	nasty
fiaga	abusive
fiagado	abuse
fiago	abuse
fiakr/o	fiakro
fiakristo	cab driver
fiakro	cab
fianciniĝo	engagement
fianĉ -igita	affianced
fianĉamiko	best man
fianĉeco	betrothal
fianĉigi	to betroth, become engaged, get engaged
fianĉina	bridal
fianĉinbukedo	bridal bouquet
fianĉiniĝi	to become engaged
fianĉiniĝinta	engaged
fianĉiniĝo	betrothal, engagement
fianĉino	bride, fianc@e / bride, fiancée
fianĉiĝi	become engaged / to get engaged
fianĉiĝinta	engaged
fianĉiĝo	betrothal, engagement
fianĉo	fianc@ / betrothed, fiancé, sweetheart
fiaska	abortive
fiaski	to abort, fail
fiaskigi	to abort, quash
fiasko	abortion, failure, fiasco
fiaĵo	nastiness, something disgusting, naughty thing, bad deed
fiaŭdaca	outrageous
fiberca	fibrous
fibero	muskrat, musk-rat, musquash
fiberto	fibril
fibestoj	vermin
fibolo	safety-pin, safety pin
fibra	fiber
fibrino	fibrin
fibriĝi	to fray
fibro	fiber, fibre / fiber, filament
fibromo	fibroma
fibrooptiko	fiber optics
fibuba	loutish
fibubo	lout
fibulo	fibula, safety pin / safety-pin
fibuŝo	dirty mouth
fidebla	dependable, reliable, responsible, trusty
fideble	dependably, reliably
fidela	faithful
fidele	faithfully
fideleco	adherence, allegiance, fealty, fidelity, loyalty
fidelo	adherence, allegiance, faithfulness, fidelity
fidelrompo	breach of faith
fidelulo	believer / faithful person
fidema	confident, trusting
fideme	confidently
fidi	to have faith, have faith in, trust
fidi al	to rely on, trust in
fidi je	to have faith in, rely on, trust in
fidinda	reliable, trustworthy
fidinda retejo	trustworthy website
fidinde	dependably, faithfully
fidindeco	believability, credibility, reliability
fidindo	reliability
fido	confidence, faith, trust
fidro	feeder, feeder-cable
fie	grossly
fiera	proud
fieraĵo	pride
fiere	proudly
fiereco	pride
fierega	overbearing
fierege	overbearingly
fierego	arrogance, haughtiness
fiereta	perky
fieri	to be proud
fieri pras	(fieri pri) to be proud of
fieri pri	to be proud of
fierinda	glorious, illustrious
fieriĝi	to be proud
fiero	pride
fierulo	proud person
fifama	infamous, of ill repute
fifame	notoriously
fifamiga	smear
fifamigi	to smear
fifamigo	smear
fifamo	infamy
fifari	to commit, perpetrate
fifarinto	perpetrator
fiflata	adulatory
fiflatado	adulation
fiflati	to ingratiate oneself to, toady to
fifro	fife
figarbo	fig-tree / fig tree
figazeto	dirty magazine
figo	fig
figringo	thimble
figujo	fig-tree / fig tree
figura	figurative
figura esprimo	figurative expression, figure of speech
figurado	depiction, representation
figuranto	extra (performer in a play, etc.)
figure	figuratively
figuri	depict, represent / represent; appear
figuro	figure, diagram, image, picture, representation / configuration, diagram, figure, image, picture, representation
figurotabelo	table of figures
figvidanto	instigator
fihelpanto	accessory, accomplice (to a crime or misdeed)
fihelpo	abetment
fiherbo	weed
fihomo	evil person, bad person
fihumila	obsequious
fihumile	obsequiously
fihumileco	obsequiousness
fiigi	to pervert
fiinsektoj	pests, vermin
fikadi	go on fucking
fikado	fucking
fikampanjo	agitation
fikario	lesser celandine
fikcia	fictional, fictitious
fikcie	fictionally, fictitiously
fikcio	fiction
fiki	to fuck, screw
fikomerci	to traffic
fikomercisto	trafficker
fikomerco	traffic
fikopii	to crib
fiksa	fixed
fiksa memorilo	read-only store
fiksa memoro	read-only memory, ROM
fiksa punkto	fixed point
fiksa tarifo	flat fee
fiksado	setting
fiksaj klavoj	sticky keys
fiksbano	fixing agent
fikseco	fixity
fiksgranda	fixed-size
fiksgranda virtuala disko	fixed-size virtual hard disk
fiksi	attach, determine, fasten, fix, affix, make fast, secure
fiksi fenestron	to freeze a window
fiksi panelojn	to freeze panes
fiksi ĝisrandigon	to align
fiksilo	fixer / fastener
fiksita	fixed
fiksita alto	fixed height
fiksita diskilo	hard disk drive
fiksita disko	fixed disk, hard disk
fiksita dosierlokigo	fixed file location
fiksita enhavo	fixed content
fiksita pozicio	fixed position
fiksita programo	firmware
fiksita punkto	fixed-point
fiksita valoro	fixed value
fiksita versio	fixed version
fiksiĝema reĝimklavo	locking escape
fiksiĝema ĉeflitera registrum	caps lock
fiksiĝema ĉeflitera registrumo	caps lock
fiksiĝi	to attach, be stranded, stick
fiksiĝo	adhesion
fikskoma	fixed-point
fikskuvo	fixing tank
fikslarĝa	fixed-width
fikslarĝa tekstodosiero	fixed-width text file
fikslonga	fixed-length
fikslonga spaceto	hard space
fikso	fixing
fiksprogramo	firmware
fikspunkta	fixed-point
fikspunkta nombro	fixed-point number
fikspunkta prezento	fixed-point representation
fiksrigardi	to gaze
fiksrigardo	stare
fikssignara reĝimo	text mode
fikstempo	deadline
fiktiva	fictitious
fiktive	fictitiously
fikuso	banyan
fikutimo	vice
filakterio	phylactery
filaktero	phylactery
filamenteca	filament
filamento	filament
filandro	gossamer
filanto	phyllanthus
filantropeco	philanthropy
filantropia	philanthropic
filantropie	philanthropically
filantropio	philanthropy
filantropo	philanthropist
filario	guinea-worm
filatela	philatelic
filatelio	philately, stamp-collecting / philately, stamp collecting
filatelisto	philatelist
filatelo	philately, stamp-collecting / philately, stamp collecting
fileo	filet
filerte	craftily
filharmonia	philharmonic
filharmonio	philharmonic
filia	filial
filieco	affiliation
filigi	to adopt (child)
filigo	adoption
filigrani	to filigree
filigrano	filigree, watermark
filiigi	to affiliate
filiigo	affiliation
filiiĝi	to affiliate
filiiĝo	affiliation
filiko	fern
filikoplantoj	ferns
filino	daughter
filio	affiliate, branch / affiliate, affiliation, branch, affiliated body
filipina	Philippine
filipinanino	Philippine woman
filipinano	Filipino
filistra	stuffy, philistine
filistro	philistine
filiŝto	Philistine
filmaktoro	film actor
filmantaŭeniro	film wind
filmarkitekto	art director
filmbobenujo	film cartridge chamber
filmer-rapido	frame rate
filmero	frame
filmeto	video
filmfaristo	film maker
filmgvidilo	film leader
filmi	to shoot (a film), film
filmilo	movie camera
filmisto	film maker
filmitaĵero	clip
filmitaĵo	footage
filmkamerao	film camera
filmkartoĉo	roll film
filmkaseto	film cartridge
filmludi	to act (in a film)
filmo	film, motion picture, movie
filmo-antaŭeniro	film wind
filmo-bobenilo	film winder set
filmoantaŭeniro	film wind
filmobildo	photogram
filmobobenilo	film winder set
filmodosiero	movie file
filmostudio	film studio
filmportilo	plate-holder, film-plate holder
filmprojekciilo	film projector
filmrevolva	rewind (film)
filmruleto	film
filmserio	film series
filmstelulo	movie star
filmstudio	film studio
filmteatro	cinema, movie theatre, theatre, the pictures
filmtenilo	negative carrier
filmviŝilo	wash off pliers
filo	son
filo de la ĉielo	son of heaven
filogenezo	phylogenesis
filoj	sons
filologia	philological
filologie	philologically
filologiisto	philologist
filologio	philology
filologo	philologist
filono	phylum, sub-kingdom
filoskopo	warbler, willow-warbler
filozofa	philosophical
filozofe	philosophically
filozofi	to philosophize / philosophise
filozofia	philosophic
filozofie	philosophically
filozofiema	philosophical
filozofii	to philosophize
filozofiisto	philosopher
filozofio	philosophy
filozofo	philosopher
filtrado	filtering
filtri	to filter
filtrila	filter
filtrila breto	filter bar
filtrilo	filter
filtrita	filtered, family-friendly (content)
filtriĝi	to filter
fimbrio	fimbria
fimensa	foul minded
fina	final
fina bajto	trail byte
fina bitoko	trail byte
fina citilo	end quote
fina eldono	final release
fina marko	end tag
fina parto	back part, hind part
fina prilaborado	finishing off
fina rando	terminal vertex (of an arc)
fina uzulo	end user
fina valoro	final value
fina venko	the final victory or success of Esperanto
finalano	finalist
finalisto	finalist
finalo	decider, play-off / decider, playoff, finale
financa	financial
financadministrilo	finance manager
financado	finance, financing
finance	financially
financi	to finance
financisto	financier
financo	finance
finaparato	terminal
finaranĝi	conclude, dispatch, expedite, finnish, settle / to conclude, dispatch, expedite, finish, settle
finaranĝo	completion, settlement
finaĵo	ending
findecidi	compose, conclude, dispatch, settle
fine	at last, finally, ultimately
fine de	at the end of, in the end, finally
fine de la tago	at the end of the day
finetikedo	trailer label
finfara bato	coup de grace
finfari	finish, finish off / to complete, finish (off), finalize
finfina	ultimate
finfine	at last, at long last
finfineco	finality
fingra	digital
fingri	to finger
fingringo	thimble
fingro	finger
fingrofrapi	touch
fingrofrapo	touch
fingromontri	to point (with one’s finger)
fingroplektro	finger plectrum
fingropremaĵo	fingerprint
fingropremo	fingerprint
fingrospuro	fingerprint
fingrotabulo	fingerboard
fingrumi	to finger, handle
fini	accomodate, end, finish, terminate / to end, finish, terminate, close, conclude
fini alvokon	to hang up (telephone)
fini fuŝrapide	bungle, scamp one's work / to bungle one’s work
fini sesion	hang up
finia	finite
finia aŭtomato	finite automaton, finite-state acceptor
finia vico	finite sequence, finite series
finialo	finial
finidimensia	finite-dimensional
finigi	to finish
finilo	terminating symbol, terminator
finilonga vico	finite sequence, finite series
finio	finite object
finita	completed, done, finished, over, through
finitivo	finite, finite form
finiĝanta	ending
finiĝi	end, come to an end, end up, expire / to end up, come to an end, expire, wind up
finiĝi je	to end in
finiĝo	end, terminate
finkondiĉa iteracio	REPEAT-loop, REPEAT-statement
finkrampo	end (close) parenthesis
finkunsidi	to finish a meeting
finlabori	to finish
finlandano	Finn (person from Finland)
finlando	Finland
finlegi	to read, read out
finlerni	to learn completely, master
finletero	final letter
finludiĝi	to play itself out, come to an end
finmanĝi	to finish eating
finmarko	end mark
finna	Finnish
finna lingvo	Finnish, Finnish language
finnino	Finnish, Finnish lady, Finnish woman
finno	Finn
finnoj	Finns
fino	end, ending
fino bona, ĉio bona	all’s well that ends well
finofara	finished
finomi	to brand
finpagi	to pay off
finpago	acquittal, payment, full payment
finparoli	to finish speaking
finpretigi	to finish, get finished
finpretigo	accomplishment
finpunkto	endpoint
finrikordo	trailer record
finsigno	end character, terminator
finstacio	end-of-the-line / terminus
finstudi	finish one's studies / to finish one’s studies
finti	to feint
finto	ruse, feint
finuzita	used up
finuzitaĵo	cast-off
finveni	to end up
finvenkisto	"Esperantist strongly believing in or fighting for the ""fina venko"""
finvorto	final word
fio	phi
fiolo	phial, vial
fiparolado	filthy talk
fipetola	wanton
fipetolemo	wantonness
fiprofiti	to take advantage of
fiprogramara	malware
fiprogramara forigilo	removal tool (malware)
fiprogramaro	malicious software, malware
firakonto	dirty story
firma	fast, firm, stable
firmaa	business
firmamento	firmament
firmao	company, firm
firmaĵo	dry land, firmament, hard copy, printout
firme	firmly
firmeco	firmness
firmeto	partnership, small business, small company, small firm, sole proprietorship
firmidiri	affirm
firmigi	to congeal, fasten, fix, affix, secure
firmigilo	splint
firmiĝi	to firm
firmo	company, firm
firmprogramo	firmware
firmvaro	firmware
firsto	coping
fiska	fiscal / tax-related
fiska jaro	fiscal year
fisko	exchequer, state treasury
fiskribi	to scrawl
fistuleno	beef-steak fungus
fistulo	fistula
fiteŭmo	rampion
fitobezoaro	phytobezoar
fitogeografia	phytogeographical
fitogeografie	phytogeographically
fitrakta	abusive
fitraktado	abuse, mistreatment
fitrakti	to abuse
fitrakto	abuse
fiulo	immoral person, evil person
fiuza	abusive
fiuzanto	abuser
fiuzanto de domajna nomo	domain squatter
fiuzi	to abuse
fiuzo	abuse
fivirino	slut, bad woman
fiviro	cheat, crook, rascal, rogue, swindler, trickster
fivoleptemo	concupiscence
fivorto	bad, foul word / dirty word
fizalido	physalis
fizalio	bladder
fizika	physical
fizika adreso	physical address
fizika dosiero	hard copy, document
fizika geografio	physical geography, physiography
fizika komputilo	physical computer
fizika memoro	physical storage, physical store
fizika skizo	physical design
fizika stoko	physical inventory
fizika tavolo	physical layer
fizika vojo	physical path
fizika vundebleco	physical vulnerability
fizikadresa	physical address
fizikadresa etendo	physical address extension
fizikaj	physical
fizikaj datumoj	physical data
fizikdiska	physical disk
fizikdiska risurco	physical disk resource
fizike	physically
fizikeca programado	physical programming
fizikisto	physicist
fiziko	physics
fiziologiisto	physiologist
fiziologio	physiology
fiziologo	physiologist
fizionomio	physiognomy (face)
fizioterapiisto	physical therapist
fizioterapio	physiotherapy
fiĉefo	instigator
fiĝia	Fijian
fiĝiano	Fijian
fiŝa vosto	fish tail
fiŝado	fishing
fiŝaglo	osprey
fiŝanto	angler, fisher
fiŝaro	shoal
fiŝaĵo	fish meat
fiŝbredisto	fish breeder
fiŝejo	fishing spot, fishing hole, fishing ground(s)
fiŝerco	bad joke
fiŝfadeno	fishing line
fiŝgluaĵo	kaid
fiŝgluo	kaid
fiŝhaveno	fish harbor
fiŝhoki	to fish with a line
fiŝhoko	fishhook
fiŝi	to fish
fiŝi nase	fish with a fish-trap / to fish with a fish trap
fiŝi rete	to fish with a net
fiŝidaĵo	whitebait
fiŝilaro	fishing-tackle
fiŝisto	fisherman
fiŝistvilaĝo	fishing village
fiŝkapta	fishing
fiŝkaptada	fishing
fiŝkaptada ŝipeto	fishing boat
fiŝkaptado	angling, fishing, fishery
fiŝkaptanto	angler
fiŝkaptejo	fishery
fiŝkapti	fish
fiŝkapti nase	fish with a fish-trap / to fish with a fish trap or net
fiŝkapti rete	fish with a net
fiŝkaptisto	angler, fisher, fisherman
fiŝlageto	fish pond
fiŝmanĝaĵo	fish
fiŝmiksaĵo	fish mixture, fish stew
fiŝo	fish
fiŝodoro	fish smell, fish odor
fiŝokula	fisheye, ultrawide
fiŝoleo	fish oil
fiŝosteko	steak
fiŝosto	fish-bone
fiŝreto	fishing net
fiŝsemo	spawn
fiŝvendejo	fish market
fiŝvendisto	fishmonger
fiŝvergo	fishing rod
fiŝĉasi	to angle, fish
fjordo	firth, fjord, inlet, loch
fladmaŝino	folding machine
flagaĵo	bunting
flagelo	flagellum
flageto	pennant
flagi	to flag
flagita	flagged
flago	banner, flag / standard
flagornami	to deck with flags
flagranta	flagrant
flagrante	flagrantly
flagraĵo	flare
flagretado	flicker
flagreti	to flicker
flagri	flare, flare up
flagstango	flag staff
flagŝtofo	bunting
flakeniri	to swerve
flakenmeti kverelon	to put aside a dispute, put aside an argument
flako	puddle, pool
flakono	flacon, flask
flama	fervent, flaming
flamando	Fleming
flamanta	ablaze
flambergo	dress-sword
flamegi	to blaze
flamejo	burner
flamema	passionate
flamengo	flamingo
flameti	to singe
flami	to burn, flame
flamiga	inflammatory
flamigi	to inflame, kindle, light
flamingo	burner (gas)
flamiĝema	flammable, inflammable
flamiĝi	to catch fire, enkindle, flare up, take fire
flamiĝo	outburst, passion
flamkapa	hot-headed
flamlume	by firelight, by the light of a flame
flamo	flame
flanaĵo	custard
flandra	Flemmish / Flemish
flandro	Flemming / Flemish, Fleming
flanela	flannel
flanelo	flannel
flangilo	flanger
flango	flanging
flanka	incidental, side
flanka branĉo	collateral branch, side-branch
flanka breto	sidebar
flanka klaso	coset
flanka strio	sidebar
flankafero	accessory
flankakvo	backwater
flankalflanke	side by side
flankaparato	peripheral
flankaĵo	accessory matter, sideissue, sideshow / accessory matter, side issue, sideshow, wing / side-show
flankblindigilo	blinder
flankdoloro	stitch
flanke	at the side, on the side
flanke de	at the side of, beside, alongside, next to
flanken	aside, to the side
flanken rigardas	(flanken rigardi) to leer
flanken rigardi	to leer
flankeniĝi	to deflect, diverge, wander
flankenlasante	leaving aside
flankenpuŝi	to overshadow
flanketo	side
flankiĝi	to go astray, stray off
flanklumigado	sidelighting
flanknavo	aisle
flanko	side
flanko ĉe flanko	abreast, side by side
flankokupo	hobby, sideline
flankon ĉe flanko	abreast
flankprodukto	by-product
flanktemo	bridge
flankvalo	side valley
flankvelo	studding sail
flankvojo	by-way, side-way
flankĉaro	sidecar
flano	pancake
flanĝo	flange
flaresplori	to smell at, sniff at
flari	to scent, smell
flari tabakon	to take snuff
flaro	smell
flaroado	smell (sense)
flarsento	sense of smell
flarsentumo	smell
flartabako	snuff
flarumi	to snuffle
flatado	flattery
flatanto	flatterer
flataĉi	to brown-nose
flataĵo	flattery
flate	coaxingly
flategi	to adulate
flatema	flattering
flati	to flatter
flato	flattery
flatulo	flatterer
flava	yellow
flava emberizo	yellowhammer
flava febro	yellow fever
flava kupro	brass
flavbeka albatroso	yellow-nosed albatross
flavbekulo	greenhorn
flavbrova emberizo	yellow-browed bunting
flavbruna	fawn
flaveca	yellowy
flaveta	yellowish
flavgriza	beige
flavigi	to yellow
flaviĝi	to yellow
flaviĝinta	yellowed
flaviĝo	jaundice
flavkrura mevo	lesser black-backed gull
flavmalsano	acute hepatitis A, jaundice
flavo	yellow
flavroza	carnation (color)
flavruĝa	russet
flavulo	yellow man
flaĝoleto	flageolet
flaŭro	flora
flebito	phlebitis
flebo	seam, vein
flegado	care, nursing
flegi	attend, nurse, tend to
flegistino	nurse
flegisto	nurse
flegma	impassive, passive, stolid, indifferent, calm
flegme	passively, calmly, indifferently
flegmo	indifference, phlegm
flegmono	phlegmon
flegmulo	phlegmatic
fleksa	flexible
fleksado	bending
fleksaĵo	bend
fleksebla	flexible
flekseble	flexibly
fleksebleco	flexibility
flekseblo	flexibility
fleksi	bend
fleksia	flexible
fleksiaĵo	inflexion
fleksiebla	flexible
fleksigilo	bender
fleksigo	bend
fleksii	to inflect
fleksiilo	inflexion
fleksio	flexion, inflexion
fleksita	bend / bent
fleksiĝema	flexible
fleksiĝemo	flexibility
fleksiĝi	to bend
fleksiĝo	curve
flekso	flexion
flemadidlo	flamadiddle
flemo	flam
fleo	timothy-grass
fleso	flounder
flibustro	freebooter, privateer
flika dosiero	patch file
flikado	darning, patching
flikaĉi	to patch things up
flikaĵaro	patchwork
flikaĵo	patch
flikeca	patchy
fliki	mend, patch, patch up / to darn, mend, patch (up)
flikilo	patch utility
flikteno	bleb, vesicle
flinto	flint-glass
flirtegi	to hover
flirtema	volatile (fickle)
flirtemulo	philanderer
flirti	to flirt, flit, flutter / wave
flirtigi	to wave
flirto	flirt
flirtumi	to flirt, spend time flirting
floemo	phloem
flogistonismo	phlogistonism
flogistono	phlogiston
flogo	phlox
floko	flake, flock, wisp
flokso	phlox
flora	floral
florado	efflorescence
floranta	abloom
floraĵo	blossom
florbedo	flower bed
florbranĉeto	spray
florbrasiko	cauliflower
florbroĉo	corsage
florbulbkulturejo	bulb field, bulb-growing field
florbulbo	flower bulb
florburĝono	bud
florbutiko	florist
floreca	flowery
florejo	flower garden
florenca	Florentine
floreno	floren, florin
florfolieto	petal
florfolio	petal
flori	to bloom, blossom, flower / flourish
florida	Floridian
floridano	Floridian
floristo	florist
florkaliko	calyx
florkrono	crown, garland, wreath
florkulturejo	nursery (horticulture)
floro	bloom, flower
floroleo	attar
florparado	flower parade
florpoto	flowerpot
florsemo	pollen
florsuko	nectar
florujo	flower pot, vase
florĝardeno	flower garden
flosanta doko	floating dock
flosbazaro	floating market
flosbueto	buoy
flose	afloat
floseco	buoyancy
flosi	to float
flosigi	to float
flosilo	float
flosilŝnuro	buoy rope
floslinio	Plimsoll line, waterline
floso	raft
flosponto	pontoon bridge
flotanta	afloat
floteto	flotilla
flotforto	buoyancy
flotkapabla	able to float
floto	fleet
flua	fluent
fluadi	to flow, keep flowing
fluado	flowing
fluanta	flowing, fluent
fluante	flowingly, fluently
fluantparola	talkative
fluaĵa	fluid, liquid
fluaĵo	fluid, liquid
fludinamiko	fluid dynamics
flue	fluently, fluidly
flueca	fluid, liquid
flueco	fluency
fluegi	to stream
fluego	spate
fluejo	bed, watercourse
fluema	fluid
fluemo	fluidity
fluformo	stream format
flugado	flight (birds)
flugaparato	flying machine
flugarmea bazo	air base
flugarmeisto	airman
flugarmeo	air force
flugbileto	air ticket
flugboato	sea-plane
flugdrako	kite
flugeti	to flutter
flugfolia	handout
flugfolia modelo	handout master
flugfolia paĝo	handout page
flugfolia vido	handout view
flugfolio	flier
flughavena busstacidomo	air terminal
flughavenimposto	airport tax
flughaveno	airport
flugi	to flee, fly
flugigi	to let fly, make fly
flugilhava	winged
flugilo	pinion (feather), wing
flugisto	flier
flugiva	able to fly
flugkampo	airfield
flugkapabla	airworthy
flugkatastrofo	air crash
flugkompanio	airline
flugludilo	kite (toy)
flugmaŝino	aircraft / airplane
flugo	flight
flugpasaĝero	airline passenger
flugpendi	to float, hang, hover, waft
flugporti	to waft
flugpova	airworthy
flugsciuro	flying squirrel
flugtaŭga	airworthy
flugtuŝi	to touch lightly
flui	flow
fluida	fluid, liquid
fluida oksigeno	liquid oxygen, LOX
fluidaĵo	fluid, liquid
fluidigi	to melt, liquefy, turn into a fluid
fluidiĝi	to melt, liquefy, turn into a fluid
fluido	fluid, liquid
fluidodinamiko	fluid dynamics
fluigi	to streamline
flukso	flux
fluktui	to fluctuate
flukvanto	throughput
flulavi	to flush
flulinia	streamlined
fluo	current, flow, stream
fluo-butono	feed button
fluo-malkovro	feed discovery
fluobstaklo	baffle
fluobutono	feed button
fluodinamiko	fluid dynamics
fluomalkovro	feed discovery
fluopordo	streamport
fluorborato	borofluoride
fluoreska	fluorescent
fluoreski	to fluoresce
fluoresko	fluorescence
fluorido	fluoride
fluorito	lens
fluoro	fluorine
fluparola	glib
fluparoleco	fluency
flusa	flood
flusablo	quicksand
flusego	spring-tide
flusejo	foreshore, intertidal zone, littoral zone
fluskema	flow (document), flowchart
fluskema dokumento	flow document
fluskema simbolo	flowchart symbol
fluskemo	flow chart
fluso	flood, high tide
flustra	whispering
flustrado	whispering
flustre	in a whisper
flustri	to whisper
flustri dolĉaĵojn al	to whisper sweet nothings to
flustro	whisper
fluteto	piccolo
fluti	to pipe
flutludi	to pipe
fluto	flute
fo	name of the letter F
fobio	phobia
foceno	porpoise
foino	stone-marten
foirejo	fairground, marketplace
foirkomercisto	market trader
foiro	fair, market / fair, bazaar, (street) market
foja	occasional
foje	once, on occasion, sometimes
fojfoje	sometimes, occasionally, from time to time
fojnamaso	haystack
fojnbalao	whisk
fojnejo	barn, hay loft
fojno	hay
fojnoforkego	pitchfork
fojnostako	haystack
fojnujo	hay rack
fojo	occasion, time
fokedoj	earless seals
foko	seal (animal)
fokseno	porpoise
fokstroto	foxtrot
fokstrotodanco	foxtrot, fox trot
fokusa	focal
fokusa elprenado	focus stealing
fokusa forprenado	focus stealing
fokusa rilatumo	focal ratio
fokusdiseco	eccentricity
fokusi	to focus
fokusigo	focus
fokusita	focused
fokuso	focus
fola	zany
foldi	to groove, slot
foldo	slot
foliaro	foliage
folibeto	Chard
folieto	blade
folii	to browse, leaf through, page through
foliklo	folicle
folikrono	acanthus
folilaŭso	aphid, aphis, greenfly, plant-louse
folio	leaf, sheet
foliolo	foliole
foliotitolo	sheet header
foliumado	directory
foliumebla	browsable
foliumi	leaf through
foliumilo	browser (internet), explorer, web browser
folklora	folkloric
folkloristo	folklorist
folkloro	folklore
folriĉa	leafy, rich in leaves
foltelo	theater
fomenti	to foment
fomento	heating
fomoro	Fomorian
fona	background
fona eneligo	spool, spooling
fona grafiko	background graphics
fona koloro	background color
fona lumo	backlight
fona ombro	background shading
fona procezo	background process
fona programo	background program
fona reĝimo	background processing, batch processing
fona sono	background sound
fona tasko	background task
fonaj	background
fonaj teniloj	background handles
fonbruo	background noise
fonda	foundational
fondaĵo	establishment, foundation
fondi	erect, establish, found / to erect, establish, form, found, institute
fondintino	foundress
fondinto	founder
fondiĝo	foundation
fondo	establishment
fonduo	fondue
fonduso	fund
fonemo	phoneme
fonen	to the back
fonetika	phonetic
fonetika alfabeto	phonetic alphabet
fonetike	phonetically
fonetiko	phonetics
fonetismo	pronunciation
fonkuliso	backdrop
fonlumo	backlight
fono	background
fonoforo	hearing aid
fonografo	cylinder phonograph / (cylinder) phonograph
fonologiisto	phonologist
fonologio	phonology
fonometro	phonometer
fonoprojekciilo	front projection unit
fonpeniko	background brush
fonta	source
fonta aro	argument set, domain
fonta datumbazo	source database
fonta dokumento	source document
fonta dosiero	source file
fonta kodo	source code
fonta programo	source program
fonta servilo	origin server
fonta torento	torrent file, source torrent
fontaj	source, sources
fontaj datumoj	source data
fontakvo	spring water
fontanelo	fontanel(le)
fontano	fountain
fontaĵo	inverse image, pre-image, source
fonti	to spring, well up
fonti parte el	to be based on part on
fontindiko	reference
fontkoda restrukturigado	code refactoring
fontkodo	source code
fontlingvo	source language
fonto	fountain, source, spring / fountain, fount, source, spring, seeder (torrent)
fontolingvo	source language
fontoplumo	fountain pen
fontoteksto	source text, source
fontplumo	fountain-pen, fountain pen
fontprogramo	source code, source program
fontsendi	to seed (torrent)
fontserĉisto	water-diviner
fontteksto	source text
for	away
for de la okuloj, for de la koro	out of sight, out of mind
for de tie ĉi!	begone!
for de ĉia realeco	completely unrealistic
for la	away with
for por aferoj	away on business
for-administrata	remotely administered
for-administrata servilo	remotely administered server
fora	distant, far, remote
fora aliro	remote access
fora datumbazo	remote database
fora datumtraktado	remote data processing
fora ilaro	remote tools
fora komputila labortablo	remote desktop
fora komputilo	remote computer
fora komunigo de labortablo	desktop sharing
fora labortablo	remote desktop
fora lando	far away land
fora multipleksoro	remote multiplexer
fora referenco	remote reference
fora retejo	remote site
fora terminalo	remote terminal
fora uzanto	remote user
foradministrata	remotely administered
foratinga	remote, remote access
foratinga servilo	remote access server
foratinga trojĉevalo	remote access Trojan
foraĉeti	to corner, corner the market, monopolize
foraĉeto	buyout
forbagateli	to while away
forbalai	to sweep away
forbari	to ward off, ban (visitor from a website)
forbati	to beat back, beat off, knock off, strike off
forblovi	to blow away
forbloviĝi	to be blown away
forbrili	to burn away
forbrosi	to brush away, brush out
forbruli	to be burnt down
forbruligi	to burn down
forbruligilo	incinerator
forbruligo	incineration
forbruliĝi	to be consumed in flames, burn up
forcedi	to relinquish, yield
forceja efiko	greenhouse effect
forcejo	greenhouse, hothouse
forcepso	forceps
forci	to grow in a greenhouse
fordiboĉi	to throw away, squander
